filename,number of residues,rg_all,rg_hydrophobic,rg_ratio
/Users/Bian/Downloads/proteins/T0388-D1.pdb,164,189.479789391,101.234355779,0.534275217977
/Users/Bian/Downloads/proteins/T0389-D1.pdb,134,157.472709153,94.6448603199,0.601023890608
/Users/Bian/Downloads/proteins/T0390-D1.pdb,124,160.183013057,82.0481495521,0.512215046939
/Users/Bian/Downloads/proteins/T0391-D1.pdb,128,160.955534472,81.0700901985,0.503680040978
/Users/Bian/Downloads/proteins/T0392-D1.pdb,82,99.7960717416,60.9348172253,0.610593344627
/Users/Bian/Downloads/proteins/T0393-D1.pdb,159,177.448195091,98.9677685865,0.557727671087
/Users/Bian/Downloads/proteins/T0393-D2.pdb,99,152.882647508,83.9677876138,0.549230334393
/Users/Bian/Downloads/proteins/T0394-D1.pdb,238,269.283738173,170.645179965,0.63370027883
/Users/Bian/Downloads/proteins/T0395-D1.pdb,218,247.458796419,141.693316668,0.572593574037
/Users/Bian/Downloads/proteins/T0396-D1.pdb,102,133.481210603,70.7808064539,0.530267939093
/Users/Bian/Downloads/proteins/T0397-D1.pdb,82,111.99424652,57.2047086608,0.510782566412
/Users/Bian/Downloads/proteins/T0397-D2.pdb,68,95.2101332184,49.7421805193,0.522446286313
/Users/Bian/Downloads/proteins/T0398-D1.pdb,143,162.349511067,94.932960779,0.584744358975
/Users/Bian/Downloads/proteins/T0398-D2.pdb,147,166.52122684,105.329412154,0.632528441886
/Users/Bian/Downloads/proteins/T0399-D1.pdb,162,210.288894402,96.338758644,0.458125755607
/Users/Bian/Downloads/proteins/T0400-D1.pdb,155,181.670650562,94.3177581839,0.51916893506
/Users/Bian/Downloads/proteins/T0401-D1.pdb,127,151.682134379,79.2457708232,0.522446306203
/Users/Bian/Downloads/proteins/T0402-D1.pdb,114,146.606637277,77.0775207335,0.525743732788
/Users/Bian/Downloads/proteins/T0404-D1.pdb,79,104.939783932,60.2182397347,0.573836132287
/Users/Bian/Downloads/proteins/T0405-D1.pdb,72,104.821375935,55.955568114,0.533818294361
/Users/Bian/Downloads/proteins/T0405-D2.pdb,208,253.763840195,144.02995923,0.567574793632
/Users/Bian/Downloads/proteins/T0406-D1.pdb,147,188.444988386,103.193467205,0.547605261828
/Users/Bian/Downloads/proteins/T0407-D1.pdb,231,244.822917004,127.128448045,0.519266944455
/Users/Bian/Downloads/proteins/T0407-D2.pdb,97,131.685151707,75.5449068443,0.573678245914
/Users/Bian/Downloads/proteins/T0408-D1.pdb,98,141.752236844,85.4813043465,0.603033195453
/Users/Bian/Downloads/proteins/T0409-D1.pdb,62,79.9000982284,43.2548509059,0.541361673702
/Users/Bian/Downloads/proteins/T0409-D2.pdb,103,178.338038053,99.0173333413,0.555222735554
/Users/Bian/Downloads/proteins/T0411-D1.pdb,118,141.599835439,73.2664049282,0.51741871522
/Users/Bian/Downloads/proteins/T0412-D1.pdb,165,191.90793833,110.840581008,0.577571631337
/Users/Bian/Downloads/proteins/T0413-D1.pdb,282,299.339021267,179.674866381,0.600238704664
/Users/Bian/Downloads/proteins/T0414-D1.pdb,127,157.626775415,82.6092115136,0.524081085185
/Users/Bian/Downloads/proteins/T0415-D1.pdb,107,138.404492642,69.0455935646,0.498868152664
/Users/Bian/Downloads/proteins/T0416-D1.pdb,232,270.484557654,153.879088336,0.568901565661
/Users/Bian/Downloads/proteins/T0416-D2.pdb,57,81.8521039931,35.7204909524,0.436402843785
/Users/Bian/Downloads/proteins/T0417-D1.pdb,153,182.958246261,101.279356884,0.55356541153
/Users/Bian/Downloads/proteins/T0418-D1.pdb,141,160.265667978,93.4471626684,0.583076611773
/Users/Bian/Downloads/proteins/T0418-D2.pdb,69,90.3990348163,45.9066323461,0.507822151414
/Users/Bian/Downloads/proteins/T0419-D1.pdb,224,259.793762152,144.648876931,0.556783487536
/Users/Bian/Downloads/proteins/T0419-D2.pdb,241,276.626943364,143.626778274,0.519207480399
/Users/Bian/Downloads/proteins/T0420-D1.pdb,168,193.503992071,119.325918382,0.616658690628
/Users/Bian/Downloads/proteins/T0421-D1.pdb,221,260.661914857,140.104690032,0.537495821394
/Users/Bian/Downloads/proteins/T0422-D1.pdb,200,229.295226911,128.9435981,0.562347502114
/Users/Bian/Downloads/proteins/T0422-D2.pdb,80,106.422586533,59.3344797367,0.557536531197
/Users/Bian/Downloads/proteins/T0423-D1.pdb,147,173.070650212,114.438095525,0.661221850063
/Users/Bian/Downloads/proteins/T0424-D1.pdb,175,231.942803653,116.120359788,0.500642218506
/Users/Bian/Downloads/proteins/T0424-D2.pdb,84,104.682305803,60.9768391488,0.582494230339
/Users/Bian/Downloads/proteins/T0424-D3.pdb,57,85.1560597877,45.4313292013,0.533506708913
/Users/Bian/Downloads/proteins/T0425-D1.pdb,179,194.998074221,112.073556377,0.574741862578
/Users/Bian/Downloads/proteins/T0426-D1.pdb,257,274.995170986,140.93536491,0.512501235585
/Users/Bian/Downloads/proteins/T0427-D1.pdb,218,271.383302786,163.471301721,0.602363152204
/Users/Bian/Downloads/proteins/T0427-D2.pdb,184,243.048111482,141.301570321,0.581372837911
/Users/Bian/Downloads/proteins/T0428-D1.pdb,229,260.645664965,144.61156562,0.554820528626
/Users/Bian/Downloads/proteins/T0429-D1.pdb,55,72.6432904313,38.4898019303,0.529846620407
/Users/Bian/Downloads/proteins/T0429-D2.pdb,75,99.9527768867,47.8120662045,0.478346552179
/Users/Bian/Downloads/proteins/T0430-D1.pdb,138,178.346187359,97.9874414911,0.54942268709
/Users/Bian/Downloads/proteins/T0430-D2.pdb,189,225.018109713,124.692062881,0.554142344544
/Users/Bian/Downloads/proteins/T0431-D1.pdb,101,132.615106968,74.0300420512,0.558232344293
/Users/Bian/Downloads/proteins/T0431-D2.pdb,357,385.365838418,221.074197822,0.573673573997
/Users/Bian/Downloads/proteins/T0432-D1.pdb,130,181.105111058,94.9518434513,0.52429135156
/Users/Bian/Downloads/proteins/T0433-D1.pdb,199,223.039946107,134.9124294,0.604880120156
/Users/Bian/Downloads/proteins/T0434-D1.pdb,151,179.080707752,91.7725807908,0.512464921224
/Users/Bian/Downloads/proteins/T0435-D1.pdb,118,148.858246163,79.1872255986,0.531963983451
/Users/Bian/Downloads/proteins/T0436-D1.pdb,405,442.492326679,272.381015544,0.615560991958
